repetition_id;tick;total;settled;female_moving;male_moving
1;2;1;1;0;0
1;189;2;1;0;1
1;191;3;2;0;1
1;192;4;3;0;1
1;193;5;4;0;1
1;194;6;5;0;1
1;195;7;6;0;1
1;196;8;7;0;1
1;197;9;8;0;1
1;198;10;9;0;1
1;199;11;10;0;1
1;200;12;11;0;1
1;201;13;12;0;1
1;202;14;13;0;1
1;203;15;14;0;1
1;204;16;15;0;1
1;205;17;16;0;1
1;555;18;16;1;1
1;556;18;17;0;1
1;557;19;18;0;1
1;559;20;18;0;2
1;562;21;19;0;2
1;564;22;20;0;2
1;569;23;21;0;2
1;572;24;22;0;2
1;573;25;23;0;2
1;920;26;23;1;2
1;921;26;24;0;2
1;922;27;25;0;2
1;3095;28;25;0;3
1;3097;29;26;0;3
1;3098;30;27;0;3
1;3099;31;28;0;3
1;3100;32;29;0;3
1;3101;33;30;0;3
1;3105;34;31;0;3
1;4539;35;32;0;3
1;5291;35;32;0;3
1;7121;35;31;0;4
1;7126;36;32;0;4
1;7129;37;33;0;4
1;7130;38;34;0;4
