repetition_id;tick;total;settled;female_moving;male_moving
1;2;1;1;0;0
1;174;2;1;0;1
1;176;3;2;0;1
1;177;4;3;0;1
1;178;5;4;0;1
1;180;6;5;0;1
1;181;7;6;0;1
1;188;8;7;0;1
1;189;9;8;0;1
1;190;10;9;0;1
1;191;11;10;0;1
1;194;12;11;0;1
1;197;13;12;0;1
1;556;14;12;0;2
1;558;15;12;1;2
1;559;15;13;0;2
1;561;16;14;0;2
1;562;17;15;0;2
1;563;18;16;0;2
1;564;19;17;0;2
1;565;20;19;0;1
1;566;20;19;0;1
1;575;21;19;0;2
1;591;22;20;0;2
1;921;23;20;0;3
1;922;24;21;0;3
1;926;24;22;0;2
1;1274;24;22;0;2
1;1283;24;22;0;2
1;1650;24;21;1;2
1;1652;25;23;0;2
1;4195;24;21;1;2
1;4197;25;22;1;2
1;4198;26;24;0;2
1;6366;26;23;0;3
1;6375;27;24;0;3
1;6376;28;25;0;3
1;6377;29;26;0;3
1;6378;30;27;0;3
1;6379;31;28;0;3
1;6380;32;29;0;3
1;7471;33;30;0;3
1;7475;33;30;0;3
1;7837;33;30;0;3
1;7840;33;30;0;3
1;7848;33;29;0;4
1;7852;34;30;0;4
1;7853;34;31;0;3
1;8928;34;31;0;3
